text,category
Pest problem found in Parking Area room,hostel
General service request from Sports Complex,other
Furniture damaged in Canteen hostel room,hostel
Mess food quality problem at Hostel 2,hostel
Power outage in Lecture Hall 2,electrical
Main switch issue reported at Auditorium,electrical
Hostel gate closes too early at Hostel 2,hostel
Broken staircase railing near Boys Hostel,safety
Internet connection is unstable in Laboratory,wifi
Furniture arrangement problem in Medical Center,other
The campus WiFi keeps disconnecting in Workshop,wifi
Tap is broken in Engineering Block corridor,plumbing
Pipe burst near Hostel 2 building,plumbing
Pest problem found in Block D room,hostel
Power outage in Administrative Block,electrical
Students fighting and harassing others in Computer Lab washroom,safety
Students fighting and harassing others in Block C washroom,safety
Internet connection is unstable in Block B,wifi
Library book request issue from Hostel 1,other
Water leakage in Block C washroom,plumbing
Poor lighting and unsafe path near Parking Area,safety
Socket is damaged near Lecture Hall 1,electrical
Furniture damaged in Block A hostel room,hostel
Unsafe wiring exposed near Student Center,safety
No network connectivity in Student Center hostel room,wifi
Tap is broken in Science Block corridor,plumbing
AC is not cooling in Administrative Block,electrical
WiFi signal is weak near Science Block,wifi
Mess food quality problem at Science Block,hostel
Canal or drainage complaint around Laboratory,other
Poor lighting and unsafe path near Lecture Hall 1,safety
General maintenance request for Science Block,other
AC is not cooling in Boys Hostel,electrical
Hostel gate closes too early at Block D,hostel
Emergency exit blocked near Workshop,safety
Unable to connect to campus internet in Lecture Hall 1,wifi
Parking issue near Block A,other
Students are ragging and beating a junior in Engineering Block,safety
Hostel gate closes too early at Block A,hostel
No water supply in Parking Area hostel block,plumbing
Pipe burst near Lecture Hall 1 building,plumbing
Pipe burst near Student Center building,plumbing
Power outage in Student Center,electrical
Bathroom drain is blocked in Administrative Block,plumbing
Socket is damaged near Block D,electrical
Tap is broken in Computer Lab corridor,plumbing
WiFi is not working in Block C,wifi
Water is leaking from the ceiling in Auditorium,plumbing
Pipe burst near Student Center building,plumbing
Ragging incident near Engineering Block hostel block,safety
Router issue near Block B with no internet access,wifi
Toilet is not flushing in Computer Lab,plumbing
Slow internet speed in Workshop computer lab,wifi
Unsafe wiring exposed near Science Block,safety
Main switch issue reported at Auditorium,electrical
Slow internet speed in Hostel 1 computer lab,wifi
Toilet is not flushing in Hostel 1,plumbing
Main switch issue reported at Reading Room,electrical
Short circuit smell near Business Block,electrical
Main switch issue reported at Block C,electrical
Laundry service delay at Administrative Block,hostel
Mess food quality problem at Engineering Block,hostel
Campus signage missing near Auditorium,other
CCTV not working at Block C,safety
CCTV not working at Canteen,safety
Hostel gate closes too early at Science Block,hostel
Fire extinguisher missing in Business Block block,safety
Water leakage in Canteen washroom,plumbing
Tap is broken in Workshop corridor,plumbing
Emergency exit blocked near Workshop,safety
The campus WiFi keeps disconnecting in Business Block,wifi
Students are ragging and beating a junior in Lecture Hall 2,safety
Unsafe wiring exposed near Student Center,safety
General maintenance request for Parking Area,other
Room maintenance issue reported in Block C,hostel
Electrical spark seen near Laboratory,electrical
General maintenance request for Computer Lab,other
Internet connection is unstable in Block C,wifi
Students are ragging and beating a junior in Science Block,safety
Internet connection is unstable in Block D,wifi
Toilet is not flushing in Laboratory,plumbing
Washroom flooding in Engineering Block area,plumbing
Power outage in Canteen,electrical
AC is not cooling in Block B,electrical
WiFi is not working in Workshop,wifi
Short circuit smell near Block A,electrical
Parking issue near Administrative Block,other
Broken staircase railing near Block A,safety
Pest problem found in Lecture Hall 2 room,hostel
Main switch issue reported at Sports Complex,electrical
Bathroom drain is blocked in Hostel 1,plumbing
Pipe burst near Lecture Hall 1 building,plumbing
Router issue near Hostel 2 with no internet access,wifi
Hostel gate closes too early at Lecture Hall 1,hostel
Laundry service delay at Science Block,hostel
Canal or drainage complaint around Administrative Block,other
Router issue near Business Block with no internet access,wifi
Fire extinguisher missing in Block D block,safety
Tap is broken in Business Block corridor,plumbing
Fire extinguisher missing in Student Center block,safety
Bathroom drain is blocked in Library,plumbing
Short circuit smell near Lecture Hall 1,electrical
Library book request issue from Parking Area,other
Fan stopped working in Computer Lab room,electrical
No network connectivity in Sports Complex hostel room,wifi
Bathroom drain is blocked in Lecture Hall 2,plumbing
Socket is damaged near Computer Lab,electrical
The campus WiFi keeps disconnecting in Hostel 2,wifi
Router issue near Engineering Block with no internet access,wifi
Unsafe wiring exposed near Main Building,safety
Unsafe wiring exposed near Reading Room,safety
Noise disturbance in Library hostel at night,hostel
Tap is broken in Block C corridor,plumbing
Canal or drainage complaint around Reading Room,other
Laundry service delay at Workshop,hostel
Unable to connect to campus internet in Block C,wifi
Students fighting and harassing others in Boys Hostel washroom,safety
Router issue near Main Building with no internet access,wifi
Hostel gate closes too early at Engineering Block,hostel
Bathroom drain is blocked in Boys Hostel,plumbing
Water leakage in Science Block washroom,plumbing
Unsafe wiring exposed near Hostel 2,safety
Emergency exit blocked near Main Building,safety
Tap is broken in Lecture Hall 2 corridor,plumbing
Noise disturbance in Hostel 2 hostel at night,hostel
Power outage in Computer Lab,electrical
Main switch issue reported at Block D,electrical
Furniture damaged in Auditorium hostel room,hostel
Power outage in Main Building,electrical
The campus WiFi keeps disconnecting in Engineering Block,wifi
Hostel gate closes too early at Parking Area,hostel
WiFi signal is weak near Block B,wifi
Students are ragging and beating a junior in Hostel 1,safety
Library book request issue from Computer Lab,other
Campus signage missing near Science Block,other
Students fighting and harassing others in Boys Hostel washroom,safety
Power outage in Canteen,electrical
CCTV not working at Canteen,safety
No water supply in Auditorium hostel block,plumbing
Main switch issue reported at Girls Hostel,electrical
WiFi is not working in Lecture Hall 1,wifi
Unable to connect to campus internet in Workshop,wifi
Water is leaking from the ceiling in Lecture Hall 2,plumbing
Room maintenance issue reported in Student Center,hostel
Water is leaking from the ceiling in Laboratory,plumbing
Laundry service delay at Sports Complex,hostel
Noise disturbance in Medical Center hostel at night,hostel
Router issue near Lecture Hall 1 with no internet access,wifi
General service request from Block B,other
Bathroom drain is blocked in Medical Center,plumbing
Furniture damaged in Lecture Hall 1 hostel room,hostel
Ragging incident near Sports Complex hostel block,safety
Room maintenance issue reported in Block C,hostel
The campus WiFi keeps disconnecting in Science Block,wifi
WiFi signal is weak near Business Block,wifi
Washroom flooding in Main Building area,plumbing
Laundry service delay at Library,hostel
Pest problem found in Lecture Hall 2 room,hostel
No water supply in Block D hostel block,plumbing
Noise disturbance in Hostel 1 hostel at night,hostel
Fire extinguisher missing in Block A block,safety
Toilet is not flushing in Reading Room,plumbing
Water leakage in Engineering Block washroom,plumbing
Fan stopped working in Girls Hostel room,electrical
Fire extinguisher missing in Hostel 1 block,safety
Bathroom drain is blocked in Hostel 1,plumbing
Notice board is outdated at Main Building,other
Light is not working in Lecture Hall 2,electrical
Tap is broken in Parking Area corridor,plumbing
Slow internet speed in Computer Lab computer lab,wifi
Broken staircase railing near Workshop,safety
Library book request issue from Girls Hostel,other
Unable to connect to campus internet in Workshop,wifi
Toilet is not flushing in Business Block,plumbing
Internet connection is unstable in Library,wifi
Physical assault and bullying incident reported in Block B,safety
General service request from Laboratory,other
Water is leaking from the ceiling in Block A,plumbing
Ragging incident near Block C hostel block,safety
Power outage in Block B,electrical
Electrical spark seen near Laboratory,electrical
Room maintenance issue reported in Girls Hostel,hostel
Canal or drainage complaint around Business Block,other
Furniture damaged in Library hostel room,hostel
Router issue near Canteen with no internet access,wifi
Pipe burst near Main Building building,plumbing
General maintenance request for Canteen,other
Notice board is outdated at Student Center,other
Students fighting and harassing others in Library washroom,safety
Pest problem found in Lecture Hall 2 room,hostel
Washroom flooding in Business Block area,plumbing
Canal or drainage complaint around Computer Lab,other
Water is leaking from the ceiling in Boys Hostel,plumbing
Fan stopped working in Workshop room,electrical
General service request from Block C,other
Noise disturbance in Main Building hostel at night,hostel
Canal or drainage complaint around Student Center,other
Physical assault and bullying incident reported in Auditorium,safety
Notice board is outdated at Block B,other
Emergency exit blocked near Parking Area,safety
Water leakage in Student Center washroom,plumbing
Tap is broken in Sports Complex corridor,plumbing
Parking issue near Library,other
Hostel room cleanliness issue in Lecture Hall 2,hostel
Bathroom drain is blocked in Student Center,plumbing
Bathroom drain is blocked in Canteen,plumbing
Water leakage in Sports Complex washroom,plumbing
Fan stopped working in Parking Area room,electrical
Pest problem found in Sports Complex room,hostel
Tap is broken in Hostel 1 corridor,plumbing
Hostel room cleanliness issue in Block C,hostel
Canal or drainage complaint around Lecture Hall 1,other
Furniture damaged in Auditorium hostel room,hostel
Parking issue near Block C,other
Canal or drainage complaint around Auditorium,other
CCTV not working at Block C,safety
Security concern reported near Computer Lab,safety
Furniture damaged in Sports Complex hostel room,hostel
AC is not cooling in Science Block,electrical
Furniture damaged in Computer Lab hostel room,hostel
Water leakage in Sports Complex washroom,plumbing
Pest problem found in Administrative Block room,hostel
Library book request issue from Sports Complex,other
Main switch issue reported at Girls Hostel,electrical
Slow internet speed in Block D computer lab,wifi
Furniture arrangement problem in Sports Complex,other
AC is not cooling in Business Block,electrical
Light is not working in Auditorium,electrical
Socket is damaged near Business Block,electrical
Furniture damaged in Sports Complex hostel room,hostel
Parking issue near Student Center,other
Laundry service delay at Hostel 1,hostel
Toilet is not flushing in Reading Room,plumbing
AC is not cooling in Boys Hostel,electrical
Unable to connect to campus internet in Main Building,wifi
Furniture arrangement problem in Administrative Block,other
The campus WiFi keeps disconnecting in Computer Lab,wifi
Students fighting and harassing others in Reading Room washroom,safety
Poor lighting and unsafe path near Girls Hostel,safety
Broken staircase railing near Auditorium,safety
Parking issue near Business Block,other
Main switch issue reported at Student Center,electrical
General maintenance request for Canteen,other
Laundry service delay at Medical Center,hostel
Parking issue near Engineering Block,other
Electrical spark seen near Canteen,electrical
AC is not cooling in Lecture Hall 2,electrical
Water leakage in Library washroom,plumbing
Hostel gate closes too early at Block C,hostel
AC is not cooling in Auditorium,electrical
WiFi is not working in Lecture Hall 2,wifi
Socket is damaged near Hostel 2,electrical
Water leakage in Hostel 2 washroom,plumbing
Main switch issue reported at Auditorium,electrical
Internet connection is unstable in Workshop,wifi
Toilet is not flushing in Medical Center,plumbing
Canal or drainage complaint around Auditorium,other
Hostel room cleanliness issue in Engineering Block,hostel
Campus signage missing near Sports Complex,other
Laundry service delay at Administrative Block,hostel
Slow internet speed in Block C computer lab,wifi
Tap is broken in Engineering Block corridor,plumbing
Laundry service delay at Block D,hostel
Fire extinguisher missing in Main Building block,safety
Internet connection is unstable in Engineering Block,wifi
Electrical spark seen near Sports Complex,electrical
Unsafe wiring exposed near Library,safety
Security guard missing at Sports Complex gate,safety
Noise disturbance in Reading Room hostel at night,hostel
Parking issue near Parking Area,other
Notice board is outdated at Medical Center,other
Light is not working in Laboratory,electrical
WiFi is not working in Engineering Block,wifi
Power outage in Medical Center,electrical
Parking issue near Hostel 1,other
No network connectivity in Canteen hostel room,wifi
Security guard missing at Parking Area gate,safety
No water supply in Hostel 2 hostel block,plumbing
Campus signage missing near Boys Hostel,other
Mess food quality problem at Main Building,hostel
Students are ragging and beating a junior in Block C,safety
Furniture arrangement problem in Medical Center,other
Students are ragging and beating a junior in Workshop,safety
Library book request issue from Block D,other
Canal or drainage complaint around Workshop,other
Toilet is not flushing in Computer Lab,plumbing
Fan stopped working in Girls Hostel room,electrical
Noise disturbance in Block B hostel at night,hostel
Slow internet speed in Computer Lab computer lab,wifi
Hostel room cleanliness issue in Main Building,hostel
Furniture damaged in Boys Hostel hostel room,hostel
Security concern reported near Sports Complex,safety
Parking issue near Boys Hostel,other
Furniture arrangement problem in Block A,other
Security guard missing at Hostel 1 gate,safety
Toilet is not flushing in Auditorium,plumbing
Furniture damaged in Medical Center hostel room,hostel
Light is not working in Student Center,electrical
Canal or drainage complaint around Computer Lab,other
Unable to connect to campus internet in Hostel 1,wifi
Laundry service delay at Engineering Block,hostel
Bathroom drain is blocked in Student Center,plumbing
Socket is damaged near Block C,electrical
Router issue near Student Center with no internet access,wifi
Students fighting and harassing others in Business Block washroom,safety
General service request from Block B,other
Room maintenance issue reported in Block D,hostel
Parking issue near Business Block,other
Mess food quality problem at Laboratory,hostel
Hostel room cleanliness issue in Girls Hostel,hostel
Ragging incident near Block B hostel block,safety
Water leakage in Student Center washroom,plumbing
Mess food quality problem at Parking Area,hostel
Pest problem found in Laboratory room,hostel
No water supply in Computer Lab hostel block,plumbing
Tap is broken in Parking Area corridor,plumbing
Canal or drainage complaint around Computer Lab,other
Furniture arrangement problem in Library,other
Mess food quality problem at Laboratory,hostel
Water is leaking from the ceiling in Student Center,plumbing
Internet connection is unstable in Computer Lab,wifi
Canal or drainage complaint around Administrative Block,other
No network connectivity in Student Center hostel room,wifi
Notice board is outdated at Main Building,other
Fire extinguisher missing in Engineering Block block,safety
Parking issue near Library,other
Main switch issue reported at Block D,electrical
Toilet is not flushing in Hostel 1,plumbing
Security guard missing at Auditorium gate,safety
Pest problem found in Main Building room,hostel
CCTV not working at Science Block,safety
Physical assault and bullying incident reported in Computer Lab,safety
Toilet is not flushing in Block B,plumbing
No water supply in Main Building hostel block,plumbing
Tap is broken in Boys Hostel corridor,plumbing
Room maintenance issue reported in Girls Hostel,hostel
Furniture arrangement problem in Library,other
Parking issue near Girls Hostel,other
CCTV not working at Reading Room,safety
Internet connection is unstable in Lecture Hall 2,wifi
Mess food quality problem at Auditorium,hostel
Ragging incident near Hostel 1 hostel block,safety
Short circuit smell near Block D,electrical
Router issue near Block A with no internet access,wifi
Fire extinguisher missing in Girls Hostel block,safety
The campus WiFi keeps disconnecting in Main Building,wifi
Notice board is outdated at Hostel 2,other
Fire extinguisher missing in Block C block,safety
Emergency exit blocked near Boys Hostel,safety
Hostel room cleanliness issue in Boys Hostel,hostel
Tap is broken in Hostel 1 corridor,plumbing
Physical assault and bullying incident reported in Main Building,safety
No water supply in Workshop hostel block,plumbing
Slow internet speed in Main Building computer lab,wifi
Pest problem found in Main Building room,hostel
Furniture arrangement problem in Lecture Hall 2,other
Campus signage missing near Reading Room,other
Furniture damaged in Engineering Block hostel room,hostel
Router issue near Lecture Hall 1 with no internet access,wifi
Unable to connect to campus internet in Block D,wifi
Poor lighting and unsafe path near Hostel 2,safety
Socket is damaged near Laboratory,electrical
